名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
平原果歩,2022-03,ルートインホテルズブリリアントアリーズ,11,9,2,3,8,9,0,1,0.0,-11.1,0,0,0,0,12,0,0,1,3,0,2,0,,0.0,0.0,2.1,33.3
平岩沙紀,2022-03,GSS東京サンビームズ,4,1,6,0,7,0,0,0,,,0,0,0,0,0,0,0,0,29,11,5,0,,0.0,0.0,,46.6
平野七菜,2022-03,ルートインホテルズブリリアントアリーズ,15,9,2,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
張心穆意,2022-03,GSS東京サンビームズ,21,4,8,1,12,138,49,6,35.5,31.2,1,0,0,5,41,1,1,10,0,0,0,55,0.0,4.08,0.42,7.9,
投野ひかる,2022-03,プレステージ・インターナショナルアランマーレ,5,4,5,1,8,2,1,0,50.0,50.0,1,1,0,1,13,0,0,5,0,0,0,2,100.0,0.12,0.12,9.6,
新井祥,2022-03,群馬銀行グリーンウイングス,10,5,4,1,9,69,19,3,27.5,23.2,3,0,0,1,35,2,2,11,38,24,3,22,0.0,2.11,0.11,12.1,67.1
有村涼美,2022-03,プレステージ・インターナショナルアランマーレ,17,4,5,1,4,19,5,1,26.3,21.1,0,0,0,1,11,0,0,4,10,8,1,6,,1.25,0.25,9.1,85.0
有薗未也美,2022-03,プレステージ・インターナショナルアランマーレ,19,2,3,0,5,0,0,0,,,0,0,0,0,0,0,0,0,18,12,2,0,,0.0,0.0,,72.2
木村友里,2022-03,プレステージ・インターナショナルアランマーレ,3,4,5,1,8,62,19,5,30.6,22.6,2,0,0,0,29,1,2,4,72,45,9,20,0.0,2.38,0.0,5.2,68.8
本間有貴,2022-03,GSS東京サンビームズ,12,3,2,1,1,3,1,0,33.3,33.3,0,0,0,0,1,0,0,0,2,1,0,1,,1.0,0.0,0.0,50.0
村山美佳,2022-03,ルートインホテルズブリリアントアリーズ,14,9,2,3,11,121,36,8,29.8,23.1,15,3,1,2,40,1,2,9,0,0,0,39,20.0,3.27,0.18,6.9,
松尾奈津子,2022-03,群馬銀行グリーンウイングス,15,6,7,1,9,3,2,0,66.7,66.7,0,0,0,0,33,3,1,4,0,0,0,5,,0.22,0.0,11.4,
松尾由紀子,2022-03,GSS東京サンビームズ,20,4,5,1,7,5,0,0,0.0,0.0,0,0,0,0,14,1,0,2,0,0,0,1,,0.0,0.0,10.7,
松浦未波,2022-03,GSS東京サンビームズ,2,1,6,0,7,2,1,0,50.0,50.0,0,0,0,1,25,2,0,9,0,0,0,4,,0.14,0.14,17.0,
