名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
石盛めるも,プレステージ・インターナショナルアランマーレ,12,4,5,1,9,2,0,1,0.0,-50.0,0,0,0,1,21,1,0,5,0,0,0,2,,0.0,0.11,10.7,
色摩知巳,GSS東京サンビームズ,5,1,6,0,7,68,18,4,26.5,20.6,2,0,0,1,18,0,0,4,1,0,0,19,0.0,2.57,0.14,5.6,0.0
草島華穂,プレステージ・インターナショナルアランマーレ,9,4,5,1,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
菅原里奈,プレステージ・インターナショナルアランマーレ,4,4,5,1,9,49,13,1,26.5,24.5,0,0,0,10,28,0,0,2,2,2,0,23,,1.44,1.11,1.8,100.0
菊地実結,群馬銀行グリーンウイングス,3,5,4,1,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
菊地零,GSS東京サンビームズ,10,1,6,0,4,0,0,0,,,0,0,0,0,8,0,1,2,0,0,0,0,,0.0,0.0,3.1,
藤井寧々,群馬銀行グリーンウイングス,9,5,4,1,6,0,0,0,,,0,0,0,0,9,1,2,2,0,0,0,1,,0.0,0.0,11.1,
藤岡智恵美,ルートインホテルズブリリアントアリーズ,2,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西條華子,GSS東京サンビームズ,16,1,6,0,7,35,9,3,25.7,17.1,0,0,0,2,22,0,3,2,59,35,8,11,,1.29,0.29,-1.1,66.1
野上菜月,ルートインホテルズブリリアントアリーズ,9,6,1,2,7,0,0,0,,,0,0,0,0,0,0,0,0,43,24,12,0,,0.0,0.0,,69.8
野嶋華鈴,ルートインホテルズブリリアントアリーズ,10,3,1,1,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
長尾のどか,プレステージ・インターナショナルアランマーレ,14,4,5,1,9,0,0,0,,,0,0,0,0,0,0,0,0,38,29,4,0,,0.0,0.0,,81.6
高橋愛未,ルートインホテルズブリリアントアリーズ,5,6,1,2,7,61,26,5,42.6,34.4,5,2,0,3,28,1,3,7,36,26,4,30,40.0,3.71,0.43,7.1,77.8
