名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
紅林宏輝,トヨタモビリティ東京スパークル,3,6,18,1,24,206,90,25,43.7,31.6,40,17,8,3,95,5,22,24,144,68,28,98,42.5,3.75,0.12,5.8,56.9
荒木琢真,近畿クラブスフィーダ,14,18,12,6,30,0,0,0,,,0,0,0,0,0,0,0,0,179,107,37,0,,0.0,0.0,,70.1
荻野颯大,長野GaRons,9,11,22,2,22,68,28,5,41.2,33.8,3,1,1,4,44,1,12,7,27,2,10,33,33.3,1.27,0.18,-0.6,25.9
菅原幸紀,アイシンティルマーレ,16,25,5,8,2,0,0,0,,,0,0,0,0,3,0,2,0,1,0,0,0,,0.0,0.0,-16.7,0.0
藤川佳大,近畿クラブスフィーダ,4,18,12,6,16,64,26,4,40.6,34.4,1,0,1,2,47,4,12,6,49,25,8,32,0.0,1.62,0.12,5.3,59.2
西岡泰成,トヨタモビリティ東京スパークル,16,6,12,1,18,76,35,8,46.1,35.5,4,2,0,17,66,4,8,10,10,7,1,56,50.0,1.94,0.94,6.8,75.0
西河孝太,トヨタモビリティ東京スパークル,4,6,18,1,22,142,60,10,42.3,35.2,28,11,2,2,81,1,2,17,40,17,9,63,39.3,2.73,0.09,5.9,53.8
西片圭佑,トヨタモビリティ東京スパークル,8,4,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
谷口晴彦,近畿クラブスフィーダ,8,6,8,2,4,12,4,2,33.3,16.7,4,1,0,2,5,0,3,1,0,0,0,6,25.0,1.0,0.5,-10.0,
谷直也,アイシンティルマーレ,23,9,1,3,2,2,2,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,0.0,,
過足幸司,アイシンティルマーレ,17,7,3,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
那須野裕進,近畿クラブスフィーダ,13,12,16,4,16,38,17,1,44.7,42.1,2,0,0,7,51,2,4,4,0,0,0,26,0.0,1.06,0.44,3.9,
野田雄介,トヨタモビリティ東京スパークル,10,5,12,1,9,0,0,0,,,0,0,0,0,0,0,0,0,59,30,8,0,,0.0,0.0,,57.6
鈴木康平,アイシンティルマーレ,10,25,5,8,30,0,0,0,,,0,0,0,0,0,0,0,0,122,52,35,0,,0.0,0.0,,57.0
鈴木浩大,トヨタモビリティ東京スパークル,18,5,15,1,14,3,2,0,66.7,66.7,0,0,0,1,25,0,5,3,0,0,0,3,,0.14,0.07,-2.0,
難波宏冶,長野GaRons,15,11,19,2,21,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
高井大輝,長野GaRons,3,14,22,3,34,4,0,1,0.0,-25.0,1,0,0,3,109,5,6,31,0,0,0,8,0.0,0.0,0.09,10.3,
高永恭輔,近畿クラブスフィーダ,5,0,6,0,3,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.33,,
鰐川怜児,長野GaRons,2,7,15,1,16,107,40,15,37.4,23.4,45,12,8,5,38,2,3,5,0,0,0,47,26.7,2.5,0.31,6.6,
