AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
79,38,9,48.1,12.67,16,7,5,43.8,11,3.67,74,4,7,38,15.9,44,15.0,5.0,39.8,816,2022-01-09,2022,01,09,大阪府,淀之水学院 城山キャンパス体育館,長野GaRons,トヨタモビリティ東京スパークル,篠崎寛,,3,0,3,Win,75,49,58,15:30,16:34,0,塚本健,黒田拓也,八木俊樹,渋谷敦弘,Home,80,29,8,36.2,9.67,5,2,2,40.0,1,0.33,50,0,6,26,10.0,64,23.0,2.0,37.5
80,29,8,36.2,9.67,5,2,2,40.0,1,0.33,50,0,6,26,10.0,64,23.0,2.0,37.5,816,2022-01-09,2022,01,09,大阪府,淀之水学院 城山キャンパス体育館,トヨタモビリティ東京スパークル,長野GaRons,伊藤優介,松枝寿明,0,3,3,Lose,49,75,58,15:30,16:34,0,塚本健,黒田拓也,八木俊樹,渋谷敦弘,Away,79,38,9,48.1,12.67,16,7,5,43.8,11,3.67,74,4,7,38,15.9,44,15.0,5.0,39.8
76,40,4,52.6,13.33,10,2,2,20.0,17,5.67,73,3,10,16,6.2,45,17.0,16.0,55.6,817,2022-01-10,2022,01,10,大阪府,淀之水学院 城山キャンパス体育館,近畿クラブスフィーダ,トヨタモビリティ東京スパークル,能登栄輔,高橋幸造,3,0,3,Win,75,50,64,11:00,12:10,0,塚本健,山口岳夫,渡邉恵美,中野絵里子,Home,93,28,7,30.1,9.33,15,8,0,53.3,3,1.00,52,1,6,12,4.8,61,28.0,16.0,59.0
93,28,7,30.1,9.33,15,8,0,53.3,3,1.00,52,1,6,12,4.8,61,28.0,16.0,59.0,817,2022-01-10,2022,01,10,大阪府,淀之水学院 城山キャンパス体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,0,3,3,Lose,50,75,64,11:00,12:10,0,塚本健,山口岳夫,渡邉恵美,中野絵里子,Away,76,40,4,52.6,13.33,10,2,2,20.0,17,5.67,73,3,10,16,6.2,45,17.0,16.0,55.6
85,27,10,31.8,9.00,13,5,3,38.5,11,3.67,68,7,7,15,13.2,60,25.0,16.0,55.0,818,2022-01-10,2022,01,10,大阪府,淀之水学院 城山キャンパス体育館,長野GaRons,アイシンティルマーレ,篠崎寛,,0,3,3,Lose,66,78,82,13:30,14:58,0,塚本健,山尾未来,吉川耕平,和佐田信行,Home,98,40,7,40.8,13.33,20,12,2,60.0,13,4.33,76,4,13,18,6.9,60,24.0,15.0,52.5
98,40,7,40.8,13.33,20,12,2,60.0,13,4.33,76,4,13,18,6.9,60,24.0,15.0,52.5,818,2022-01-10,2022,01,10,大阪府,淀之水学院 城山キャンパス体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,78,66,82,13:30,14:58,0,塚本健,山尾未来,吉川耕平,和佐田信行,Away,85,27,10,31.8,9.00,13,5,3,38.5,11,3.67,68,7,7,15,13.2,60,25.0,16.0,55.0
136,52,11,38.2,13.00,21,11,3,52.4,9,2.25,93,3,7,10,4.0,77,39.0,21.0,64.3,820,2022-01-15,2022,01,15,長野県,須坂市市民体育館,近畿クラブスフィーダ,アイシンティルマーレ,能登栄輔,高橋幸造,3,1,4,Win,94,93,101,16:00,17:50,0,富田満,水島雄介,待井広光,小山昇,Home,144,64,9,44.4,16.00,36,15,1,41.7,7,1.75,94,3,15,16,3.5,84,42.0,31.0,68.5
144,64,9,44.4,16.00,36,15,1,41.7,7,1.75,94,3,15,16,3.5,84,42.0,31.0,68.5,820,2022-01-15,2022,01,15,長野県,須坂市市民体育館,アイシンティルマーレ,近畿クラブスフィーダ,長嶋彰,鈴木奨平,1,3,4,Lose,93,94,101,16:00,17:50,0,富田満,水島雄介,待井広光,小山昇,Away,136,52,11,38.2,13.00,21,11,3,52.4,9,2.25,93,3,7,10,4.0,77,39.0,21.0,64.3
92,45,3,48.9,15.00,15,4,1,26.7,7,2.33,74,1,7,15,4.1,63,38.0,14.0,71.4,825,2022-01-30,2022,01,30,愛知県,碧南市臨海体育館,アイシンティルマーレ,近畿クラブスフィーダ,長嶋彰,鈴木奨平,3,0,3,Win,76,69,73,11:00,12:19,0,酒出修,杉浦諒祐,神戸亮二,井村幸二,Home,92,47,9,51.1,15.67,17,9,0,52.9,4,1.33,71,3,7,9,4.9,66,35.0,15.0,64.4
92,47,9,51.1,15.67,17,9,0,52.9,4,1.33,71,3,7,9,4.9,66,35.0,15.0,64.4,825,2022-01-30,2022,01,30,愛知県,碧南市臨海体育館,近畿クラブスフィーダ,アイシンティルマーレ,能登栄輔,高橋幸造,0,3,3,Lose,69,76,73,11:00,12:19,0,酒出修,杉浦諒祐,神戸亮二,井村幸二,Away,92,45,3,48.9,15.00,15,4,1,26.7,7,2.33,74,1,7,15,4.1,63,38.0,14.0,71.4
