試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,5,,浅田潮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,6,,篠原和政,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,7,,石坂ハスナヌ,4,■,■,■,■,nan,14,6,1,42.9,35.7,1.50,0,0,0,-,3,0.75,8,0,1,1,0.0,1,0,0,0.0,9
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,9,,荻野颯大,4,■,■,■,■,nan,15,6,1,40.0,33.3,1.50,1,0,0,0.0,1,0.25,9,0,2,1,-2.8,18,2,6,27.8,7
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,10,,柳生大成,1,nan,nan,□,nan,nan,2,2,0,100.0,100.0,2.00,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,2
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,11,L,新関忠稀,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,6,5,32.7,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,13,,今中聖也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,14,,小林雅治,4,■,■,■,■,nan,4,1,1,25.0,0.0,0.25,0,0,0,-,3,0.75,14,1,3,4,8.9,0,0,0,-,5
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,15,L,難波宏冶,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,長野GaRons,アイシンティルマーレ,1,3,0,17,,矢澤雅敦,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
