AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
84,24,6,28.6,8.00,15,1,2,6.7,4,1.33,52,3,6,8,6.7,60,28.0,19.0,62.5,110,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,VC長野トライデンツ,サントリーサンバーズ,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,0,3,3,Lose,50,75,76,13:00,14:22,1000,石井洋壮,國頭亮太,冨田博一,藤井勇紀,Away,81,46,6,56.8,15.33,18,11,4,61.1,9,3.00,73,2,12,13,3.1,46,29.0,9.0,72.8
114,55,6,48.2,13.75,16,10,2,62.5,11,2.75,98,4,18,15,3.3,65,42.0,12.0,73.8,113,2018-11-03,2018,11,03,,福井県営体育館,パナソニックパンサーズ,ジェイテクトSTINGS,川村慎二,古田博幸,3,1,4,Win,99,86,108,15:00,16:57,1600,伊藤博之,森口豊,服部篤史,田畑亮祐,Home,118,49,7,41.5,12.25,26,13,2,50.0,7,1.75,87,4,21,8,0.9,78,39.0,22.0,64.1
118,49,7,41.5,12.25,26,13,2,50.0,7,1.75,87,4,21,8,0.9,78,39.0,22.0,64.1,113,2018-11-03,2018,11,03,,福井県営体育館,ジェイテクトSTINGS,パナソニックパンサーズ,高橋慎治,若山智昭,1,3,4,Lose,86,99,108,15:00,16:57,1600,伊藤博之,森口豊,服部篤史,田畑亮祐,Away,114,55,6,48.2,13.75,16,10,2,62.5,11,2.75,98,4,18,15,3.3,65,42.0,12.0,73.8
65,37,5,56.9,12.33,10,7,1,70.0,11,3.67,74,8,13,20,13.2,44,18.0,9.0,51.1,111,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,JTサンダーズ,東レアローズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,菅直哉,3,0,3,Win,75,54,72,16:00,17:25,1600,石井洋壮,千代延靖夫,山本和良,赤瀬広幸,Home,70,26,5,37.1,8.67,17,6,1,35.3,8,2.67,55,0,11,17,2.7,57,24.0,14.0,54.4
70,26,5,37.1,8.67,17,6,1,35.3,8,2.67,55,0,11,17,2.7,57,24.0,14.0,54.4,111,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,東レアローズ,JTサンダーズ,小林敦,篠田歩,0,3,3,Lose,54,75,72,16:00,17:25,1600,石井洋壮,千代延靖夫,山本和良,赤瀬広幸,Away,65,37,5,56.9,12.33,10,7,1,70.0,11,3.67,74,8,13,20,13.2,44,18.0,9.0,51.1
98,46,6,46.9,11.50,21,10,0,47.6,10,2.50,97,7,21,23,7.7,72,20.0,23.0,43.8,114,2018-11-03,2018,11,03,,堺市金岡公園体育館,堺ブレイザーズ,FC東京,真保綱一郎,坂梨朋彦,3,1,4,Win,98,90,114,16:00,18:10,1500,田野昭彦,戸川太輔,中山健,和佐田信行,Home,109,54,11,49.5,13.50,21,11,2,52.4,7,1.75,91,0,19,29,2.7,73,22.0,25.0,47.3
109,54,11,49.5,13.50,21,11,2,52.4,7,1.75,91,0,19,29,2.7,73,22.0,25.0,47.3,114,2018-11-03,2018,11,03,,堺市金岡公園体育館,FC東京,堺ブレイザーズ,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,1,3,4,Lose,90,98,114,16:00,18:10,1500,田野昭彦,戸川太輔,中山健,和佐田信行,Away,98,46,6,46.9,11.50,21,10,0,47.6,10,2.50,97,7,21,23,7.7,72,20.0,23.0,43.8
105,56,7,53.3,14.00,20,11,0,55.0,9,2.25,99,7,23,14,4.8,77,54.0,11.0,77.3,115,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,東レアローズ,サントリーサンバーズ,小林敦,篠田歩,3,1,4,Win,100,96,109,12:00,13:58,1100,石井洋壮,冨田博一,國頭亮太,奥先裕美,Home,99,50,11,50.5,12.50,26,14,4,53.8,9,2.25,97,3,17,12,1.8,73,47.0,12.0,72.6
99,50,11,50.5,12.50,26,14,4,53.8,9,2.25,97,3,17,12,1.8,73,47.0,12.0,72.6,115,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,サントリーサンバーズ,東レアローズ,荻野正二,ﾚｵﾅﾙﾄﾞｶﾙﾊﾞﾘｮ,1,3,4,Lose,96,100,109,12:00,13:58,1100,石井洋壮,冨田博一,國頭亮太,奥先裕美,Away,105,56,7,53.3,14.00,20,11,0,55.0,9,2.25,99,7,23,14,4.8,77,54.0,11.0,77.3
102,49,5,48.0,12.25,18,7,2,38.9,13,3.25,97,4,10,13,4.9,60,34.0,17.0,70.8,117,2018-11-04,2018,11,04,,福井県営体育館,ジェイテクトSTINGS,大分三好ヴァイセアドラー,高橋慎治,若山智昭,3,1,4,Win,98,79,100,12:00,13:49,1100,伊藤博之,原啓之,江下毅,田畑亮祐,Home,121,55,10,45.5,13.75,35,16,4,45.7,8,2.00,80,1,19,9,-1.9,85,46.0,26.0,69.4
