No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
14,,島畑奈緒子,5,■,■,■,■,■,3,1,0,33.3,0.20,0,0,0,-,0,-,20,1,3,6,8.8,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
15,,石川真奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
33,,和才奈々美,2,□,,,□,,2,1,1,50.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,2,2.0,0.0,100.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home
1,,丸山紗季,2,□,,,,□,0,0,0,-,-,0,0,0,-,0,-,4,0,1,1,0.0,2,1.0,0.0,50.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
3,,間橋香織,5,■,■,■,■,■,36,15,1,41.7,3.00,0,0,0,-,5,1.00,12,0,2,4,4.2,9,5.0,4.0,77.8,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
4,L,馬場ゆりか,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
9,,舛田紗淑,5,■,■,■,■,■,45,17,1,37.8,3.40,5,3,1,60.0,2,0.40,23,1,5,6,5.4,35,19.0,4.0,60.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
10,,リーシモーン,5,■,■,■,■,■,56,19,4,33.9,3.80,15,5,3,33.3,3,0.60,13,0,3,2,-1.9,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
11,,杉原若葉,2,,□,□,,,1,0,0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
12,,浮島杏加子,1,,,□,,,2,1,0,50.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
13,,梅津憂理,1,,□,,,,3,1,1,33.3,1.00,1,1,0,100.0,0,-,2,0,0,2,25.0,1,0.0,0.0,0.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
14,,細沼綾,5,■,■,■,■,■,20,7,2,35.0,1.40,0,0,0,-,2,0.40,14,0,0,8,14.3,4,1.0,2.0,50.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
15,,小西愛衣,5,■,■,■,■,■,1,0,0,0.0,-,0,0,0,-,0,-,17,0,2,5,4.4,1,0.0,1.0,50.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
16,,星加輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
18,L,立石優華,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,26,11.0,6.0,53.8,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
19,,小杉凜華,5,■,■,■,■,■,13,3,0,23.1,0.60,0,0,0,-,0,-,15,0,0,3,5.0,2,1.0,0.0,50.0,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
20,,戸部真由香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away
1,,上坂瑠子,3,,,□,■,■,28,12,1,42.9,4.00,0,0,0,-,1,0.33,8,0,1,3,6.2,8,5.0,1.0,68.8,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
2,,小野寺友香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
3,,堀井有蘭,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
4,,窪田美侑,5,■,■,■,■,■,16,6,2,37.5,1.20,2,1,0,50.0,3,0.60,20,1,2,5,8.8,38,15.0,11.0,53.9,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
5,,タップハンナ,5,■,■,■,■,■,27,12,0,44.4,2.40,0,0,0,-,5,1.00,14,1,3,3,7.1,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
6,,芳賀舞波,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
7,L,齋藤加奈子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
8,,佐藤美弥,4,,□,□,■,■,0,0,0,-,-,0,0,0,-,1,0.25,4,0,0,2,12.5,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
10,L,小池杏菜,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,5.0,3.0,65.0,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
13,,長内美和子,5,■,■,■,■,■,45,22,4,48.9,4.40,3,0,0,0.0,0,-,20,1,3,6,8.8,30,11.0,8.0,50.0,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
14,,入澤まい,5,■,■,■,■,■,16,8,2,50.0,1.60,0,0,0,-,2,0.40,17,0,3,7,5.9,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
17,,オクム大庭冬美ハウィ,3,■,■,■,,,23,10,1,43.5,3.33,6,4,0,66.7,0,-,10,0,1,3,5.0,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
19,,野中瑠衣,4,,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,8,1,0,3,21.9,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
21,,雑賀恵斗,3,■,■,■,,,3,1,0,33.3,0.33,0,0,0,-,0,-,6,0,0,3,12.5,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home
1,,貞包里穂,2,■,■,,,,9,1,0,11.1,0.50,0,0,0,-,0,-,6,0,0,1,4.2,6,3.0,1.0,58.3,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
2,,櫻井美樹,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,0,-,12,0,1,2,2.1,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
4,L,花井萌里,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,9.0,4.0,57.9,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
5,,長野有紗,2,,,,□,■,5,1,1,20.0,0.50,0,0,0,-,1,0.50,3,0,0,1,8.3,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
6,,金杉由香,4,,□,■,■,■,32,13,2,40.6,3.25,2,1,0,50.0,1,0.25,14,0,2,6,7.1,9,1.0,2.0,22.2,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
7,,堀込奈央,4,□,□,,□,□,0,0,0,-,-,0,0,0,-,0,-,7,0,0,3,10.7,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
8,,宮地佳乃,2,■,,,,□,14,1,0,7.1,0.50,1,0,0,0.0,0,-,1,0,0,0,0.0,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
9,,吉岡可奈,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
10,,脇田美怜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
11,,荒谷栞,4,■,■,■,■,,13,3,1,23.1,0.75,0,0,0,-,1,0.25,14,0,1,3,3.6,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
12,,孫田菜奈,3,□,□,,□,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
13,,田中咲希,5,□,■,■,■,■,27,16,0,59.3,3.20,0,0,0,-,0,-,10,0,1,3,5.0,12,4.0,1.0,37.5,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
14,,佐々木千紘,5,■,■,■,■,■,15,9,1,60.0,1.80,0,0,0,-,1,0.20,14,0,5,2,-5.4,0,0.0,0.0,-,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
15,,松本愛希穂,5,■,■,■,■,■,50,16,4,32.0,3.20,0,0,0,-,1,0.20,17,0,1,5,5.9,45,24.0,7.0,61.1,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away
1,,長岡望悠,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
2,,井上美咲,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,1,0.33,16,1,2,7,14.1,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
4,,岩坂名奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
5,,井上愛里沙,3,■,■,■,,,49,17,2,34.7,5.67,1,0,0,0.0,2,0.67,11,0,1,4,6.8,12,4.0,2.0,41.7,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
6,,石井優希,3,■,■,■,,,45,18,0,40.0,6.00,3,1,0,33.3,2,0.67,14,1,0,6,17.9,9,2.0,1.0,27.8,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
7,,加藤光,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
10,,座安琴希,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,5.0,1.0,91.7,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
11,,栄絵里香,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
12,,今村優香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
14,,中川美柚,3,■,■,■,,,19,6,1,31.6,2.00,0,0,0,-,0,-,16,1,1,4,10.9,13,2.0,3.0,26.9,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
16,,アキンラデウォフォルケ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
17,,濱松明日香,3,■,■,■,,,18,9,0,50.0,3.00,0,0,0,-,2,0.67,6,0,1,3,8.3,0,0.0,0.0,-,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
18,L,戸江真奈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,24,14.0,2.0,62.5,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home
