AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
113,48,4,42.5,16.00,11,3,1,27.3,6,2.00,73,2,12,16,4.1,45,17.0,16.0,55.6,368,2020-12-05,2020,12,05,秋田県,ＣＮＡアリーナ★あきた,東レアローズ,PFUブルーキャッツ,越谷章,高杉洋平,3,0,3,Win,75,57,75,11:00,12:21,0,村上成司,高橋宏明,伊藤薫,糸井淳孝,Home,100,32,4,32.0,10.67,12,3,1,25.0,4,1.33,59,3,12,11,4.7,61,24.0,19.0,54.9
100,32,4,32.0,10.67,12,3,1,25.0,4,1.33,59,3,12,11,4.7,61,24.0,19.0,54.9,368,2020-12-05,2020,12,05,秋田県,ＣＮＡアリーナ★あきた,PFUブルーキャッツ,東レアローズ,坂本将康,舟越悠二,0,3,3,Lose,57,75,75,11:00,12:21,0,村上成司,高橋宏明,伊藤薫,糸井淳孝,Away,113,48,4,42.5,16.00,11,3,1,27.3,6,2.00,73,2,12,16,4.1,45,17.0,16.0,55.6
140,53,4,37.9,13.25,16,4,1,25.0,14,3.50,90,6,7,26,11.9,71,24.0,24.0,50.7,370,2020-12-05,2020,12,05,神奈川県,とどろきアリーナ,NECレッドロケッツ,デンソーエアリービーズ,金子隆行,西原康平,3,1,4,Win,91,75,93,13:00,14:49,2108,印藤智一,澤達大,中山健,川上弘志,Home,154,55,13,35.7,13.75,21,8,2,38.1,4,1.00,76,3,5,20,8.9,81,32.0,19.0,51.2
154,55,13,35.7,13.75,21,8,2,38.1,4,1.00,76,3,5,20,8.9,81,32.0,19.0,51.2,370,2020-12-05,2020,12,05,神奈川県,とどろきアリーナ,デンソーエアリービーズ,NECレッドロケッツ,川北元,ｺﾞﾝｻﾞﾚｽｱﾝﾄﾞﾚ･ｸﾘｽﾄﾌｧｰ,1,3,4,Lose,75,91,93,13:00,14:49,2108,印藤智一,澤達大,中山健,川上弘志,Away,140,53,4,37.9,13.25,16,4,1,25.0,14,3.50,90,6,7,26,11.9,71,24.0,24.0,50.7
119,47,4,39.5,15.67,6,1,0,16.7,6,2.00,72,3,9,13,5.6,69,39.0,9.0,63.0,372,2020-12-05,2020,12,05,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,JTマーヴェラス,酒井新悟,大久保茂和,0,3,3,Lose,71,77,91,13:05,14:42,672,加治健男,山本晋五,木内誠二,久保温子,Home,122,58,7,47.5,19.33,16,8,1,50.0,3,1.00,76,2,6,20,7.2,62,45.0,2.0,74.2
122,58,7,47.5,19.33,16,8,1,50.0,3,1.00,76,2,6,20,7.2,62,45.0,2.0,74.2,372,2020-12-05,2020,12,05,佐賀県,SAGAサンライズパーク総合体育館,JTマーヴェラス,久光スプリングス,吉原知子,丹山禎昭,3,0,3,Win,77,71,91,13:05,14:42,672,加治健男,山本晋五,木内誠二,久保温子,Away,119,47,4,39.5,15.67,6,1,0,16.7,6,2.00,72,3,9,13,5.6,69,39.0,9.0,63.0
114,41,6,36.0,13.67,12,5,1,41.7,12,4.00,74,6,3,18,13.2,54,25.0,16.0,61.1,369,2020-12-05,2020,12,05,秋田県,ＣＮＡアリーナ★あきた,日立リヴァーレ,トヨタ車体クインシーズ,多治見麻子,達川和彦,3,0,3,Win,75,58,73,14:00,15:19,0,村上成司,浅井唯由,津嶋由香,糸井淳孝,Home,120,40,8,33.3,13.33,13,0,2,0.0,5,1.67,59,2,5,11,5.9,70,21.0,26.0,48.6
120,40,8,33.3,13.33,13,0,2,0.0,5,1.67,59,2,5,11,5.9,70,21.0,26.0,48.6,369,2020-12-05,2020,12,05,秋田県,ＣＮＡアリーナ★あきた,トヨタ車体クインシーズ,日立リヴァーレ,印東玄弥,今村駿,0,3,3,Lose,58,75,73,14:00,15:19,0,村上成司,浅井唯由,津嶋由香,糸井淳孝,Away,114,41,6,36.0,13.67,12,5,1,41.7,12,4.00,74,6,3,18,13.2,54,25.0,16.0,61.1
128,43,11,33.6,10.75,13,3,3,23.1,6,1.50,77,4,13,20,7.5,88,19.0,34.0,40.9,371,2020-12-05,2020,12,05,神奈川県,とどろきアリーナ,KUROBEアクアフェアリーズ,ヴィクトリーナ姫路,丸山貴也,武田義也,1,3,4,Lose,76,99,100,15:45,17:34,1651,印藤智一,内藤聡美,新田浩幸,牛見誠人,Home,143,64,8,44.8,16.00,10,5,1,50.0,5,1.25,98,3,9,33,9.2,61,29.0,11.0,56.6
143,64,8,44.8,16.00,10,5,1,50.0,5,1.25,98,3,9,33,9.2,61,29.0,11.0,56.6,371,2020-12-05,2020,12,05,神奈川県,とどろきアリーナ,ヴィクトリーナ姫路,KUROBEアクアフェアリーズ,中谷宏大,高橋駿,3,1,4,Win,99,76,100,15:45,17:34,1651,印藤智一,内藤聡美,新田浩幸,牛見誠人,Away,128,43,11,33.6,10.75,13,3,3,23.1,6,1.50,77,4,13,20,7.5,88,19.0,34.0,40.9
169,63,7,37.3,15.75,4,0,0,0.0,9,2.25,90,0,2,9,1.9,90,62.0,7.0,72.8,373,2020-12-05,2020,12,05,佐賀県,SAGAサンライズパーク総合体育館,岡山シーガルズ,埼玉上尾メディックス,河本昭義,吉田啓佑,1,3,4,Lose,89,99,116,16:00,18:05,703,加治健男,林淳一,平田敬基,長谷淑子,Home,200,80,7,40.0,20.00,25,11,2,44.0,7,1.75,98,2,7,20,5.4,88,64.0,15.0,81.2
200,80,7,40.0,20.00,25,11,2,44.0,7,1.75,98,2,7,20,5.4,88,64.0,15.0,81.2,373,2020-12-05,2020,12,05,佐賀県,SAGAサンライズパーク総合体育館,埼玉上尾メディックス,岡山シーガルズ,ｱﾝﾄﾆｵﾏﾙｺｽﾚﾙﾊﾞｯｷ,蓑輪貴幸,3,1,4,Win,99,89,116,16:00,18:05,703,加治健男,林淳一,平田敬基,長谷淑子,Away,169,63,7,37.3,15.75,4,0,0,0.0,9,2.25,90,0,2,9,1.9,90,62.0,7.0,72.8
105,42,6,40.0,14.00,10,3,0,30.0,8,2.67,74,5,7,18,10.5,48,27.0,10.0,66.7,374,2020-12-06,2020,12,06,秋田県,ＣＮＡアリーナ★あきた,トヨタ車体クインシーズ,PFUブルーキャッツ,印東玄弥,木村泰輔,3,0,3,Win,75,55,76,11:00,12:22,0,村上成司,津嶋由香,高橋宏明,金田成,Home,115,33,8,28.7,11.00,12,3,1,25.0,4,1.33,56,3,8,8,5.4,66,28.0,16.0,54.5
115,33,8,28.7,11.00,12,3,1,25.0,4,1.33,56,3,8,8,5.4,66,28.0,16.0,54.5,374,2020-12-06,2020,12,06,秋田県,ＣＮＡアリーナ★あきた,PFUブルーキャッツ,トヨタ車体クインシーズ,坂本将康,舟越悠二,0,3,3,Lose,55,75,76,11:00,12:22,0,村上成司,津嶋由香,高橋宏明,金田成,Away,105,42,6,40.0,14.00,10,3,0,30.0,8,2.67,74,5,7,18,10.5,48,27.0,10.0,66.7
159,65,9,40.9,16.25,15,5,4,33.3,12,3.00,97,3,5,29,9.3,79,37.0,22.0,60.8,376,2020-12-06,2020,12,06,神奈川県,とどろきアリーナ,デンソーエアリービーズ,KUROBEアクアフェアリーズ,川北元,ｺﾞﾝｻﾞﾚｽｱﾝﾄﾞﾚ･ｸﾘｽﾄﾌｧｰ,3,1,4,Win,98,86,106,12:00,13:55,697,印藤智一,澤達大,内藤聡美,田代武,Home,162,54,9,33.3,13.50,15,6,0,40.0,12,3.00,87,3,7,18,6.6,91,28.0,32.0,48.4
162,54,9,33.3,13.50,15,6,0,40.0,12,3.00,87,3,7,18,6.6,91,28.0,32.0,48.4,376,2020-12-06,2020,12,06,神奈川県,とどろきアリーナ,KUROBEアクアフェアリーズ,デンソーエアリービーズ,丸山貴也,武田義也,1,3,4,Lose,86,98,106,12:00,13:55,697,印藤智一,澤達大,内藤聡美,田代武,Away,159,65,9,40.9,16.25,15,5,4,33.3,12,3.00,97,3,5,29,9.3,79,37.0,22.0,60.8
182,57,12,31.3,14.25,11,1,3,9.1,17,4.25,95,5,7,23,9.5,80,51.0,12.0,71.2,377,2020-12-06,2020,12,06,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,埼玉上尾メディックス,酒井新悟,大久保茂和,3,1,4,Win,96,86,112,12:05,14:06,697,加治健男,木内誠二,平田敬基,長谷淑子,Home,196,59,9,30.1,14.75,23,7,2,30.4,6,1.50,87,2,5,17,5.7,88,48.0,12.0,61.4
196,59,9,30.1,14.75,23,7,2,30.4,6,1.50,87,2,5,17,5.7,88,48.0,12.0,61.4,377,2020-12-06,2020,12,06,佐賀県,SAGAサンライズパーク総合体育館,埼玉上尾メディックス,久光スプリングス,ｱﾝﾄﾆｵﾏﾙｺｽﾚﾙﾊﾞｯｷ,蓑輪貴幸,1,3,4,Lose,86,96,112,12:05,14:06,697,加治健男,木内誠二,平田敬基,長谷淑子,Away,182,57,12,31.3,14.25,11,1,3,9.1,17,4.25,95,5,7,23,9.5,80,51.0,12.0,71.2
161,49,16,30.4,12.25,3,1,0,33.3,10,2.50,78,5,6,23,11.9,89,41.0,26.0,60.7,375,2020-12-06,2020,12,06,秋田県,ＣＮＡアリーナ★あきた,日立リヴァーレ,東レアローズ,多治見麻子,達川和彦,1,3,4,Lose,77,99,101,14:00,15:50,0,村上成司,浅井唯由,伊藤薫,金田成,Home,165,65,4,39.4,16.25,16,6,0,37.5,9,2.25,98,2,7,21,5.6,71,25.0,19.0,48.6
165,65,4,39.4,16.25,16,6,0,37.5,9,2.25,98,2,7,21,5.6,71,25.0,19.0,48.6,375,2020-12-06,2020,12,06,秋田県,ＣＮＡアリーナ★あきた,東レアローズ,日立リヴァーレ,越谷章,高杉洋平,3,1,4,Win,99,77,101,14:00,15:50,0,村上成司,浅井唯由,伊藤薫,金田成,Away,161,49,16,30.4,12.25,3,1,0,33.3,10,2.50,78,5,6,23,11.9,89,41.0,26.0,60.7
142,65,1,45.8,21.67,19,12,0,63.2,5,1.67,83,3,3,28,11.1,58,37.0,8.0,70.7,378,2020-12-06,2020,12,06,佐賀県,SAGAサンライズパーク総合体育館,JTマーヴェラス,岡山シーガルズ,吉原知子,丹山禎昭,3,0,3,Win,84,58,87,15:05,16:38,739,加治健男,山本晋五,林淳一,久保温子,Home,146,47,9,32.2,15.67,4,3,0,75.0,4,1.33,59,2,0,13,8.9,79,42.0,9.0,58.9
