AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
161,58,8,36.0,11.60,1,1,0,100.0,11,2.20,90,6,2,29,13.6,95,46.0,0.0,48.4,510,2011-12-25,2011,12,25,,とくぎんトモニアリーナ（徳島市立体育館）,岡山シーガルズ,東レアローズ,溝田知茂,吉田啓佑,3,2,5,Win,90,100,103,15:00,16:55,2140,,田中昭彦,田野敏彦,笠木義弘,Away,168,69,8,41.1,13.80,25,9,1,36.0,9,1.80,100,5,4,45,15.4,87,53.0,0.0,60.9
112,38,5,33.9,12.67,11,6,1,54.5,5,1.67,57,0,2,26,11.4,67,39.0,0.0,58.2,512,2011-12-25,2011,12,25,,高千穂町武道館,JTマーヴェラス,デンソーエアリービーズ,石原昭久,尾﨑侯,0,3,3,Lose,55,75,72,15:30,16:48,1751,,山本晋五,中馬義郎,串間宏大,Home,73,29,3,39.7,9.67,0,0,0,-,4,1.33,65,4,6,17,11.5,55,29.0,0.0,52.7
73,29,3,39.7,9.67,0,0,0,-,4,1.33,65,4,6,17,11.5,55,29.0,0.0,52.7,512,2011-12-25,2011,12,25,,高千穂町武道館,デンソーエアリービーズ,JTマーヴェラス,達川実,戸澤勉,3,0,3,Win,75,55,72,15:30,16:48,1751,,山本晋五,中馬義郎,串間宏大,Away,112,38,5,33.9,12.67,11,6,1,54.5,5,1.67,57,0,2,26,11.4,67,39.0,0.0,58.2
210,67,16,31.9,13.40,14,5,1,35.7,11,2.20,106,6,8,41,14.4,93,42.0,0.0,45.2,513,2012-01-07,2012,01,07,,西尾市総合体育館,パイオニアレッドウィングス,NECレッドロケッツ,宮下直樹,舟越悠二,3,2,5,Win,107,104,122,14:00,16:14,1680,,村中伸,柘植知則,岡田三千雄,Home,210,63,11,30.0,12.60,6,1,0,16.7,8,1.60,105,7,10,46,16.7,97,51.0,0.0,52.6
210,63,11,30.0,12.60,6,1,0,16.7,8,1.60,105,7,10,46,16.7,97,51.0,0.0,52.6,513,2012-01-07,2012,01,07,,西尾市総合体育館,NECレッドロケッツ,パイオニアレッドウィングス,山田晃豊,大村悟,2,3,5,Lose,104,107,122,14:00,16:14,1680,,村中伸,柘植知則,岡田三千雄,Away,210,67,16,31.9,13.40,14,5,1,35.7,11,2.20,106,6,8,41,14.4,93,42.0,0.0,45.2
120,40,6,33.3,13.33,0,0,0,-,2,0.67,61,1,4,11,5.8,72,52.0,0.0,72.2,515,2012-01-07,2012,01,07,,大阪府立体育会館,トヨタ車体クインシーズ,岡山シーガルズ,葛和伸元,高橋悠,0,3,3,Lose,59,77,79,14:05,15:30,2700,,西中野健,江下毅,中村滉伊知,Home,126,50,5,39.7,16.67,1,0,0,0.0,11,3.67,75,2,2,19,8.7,57,45.0,0.0,78.9
126,50,5,39.7,16.67,1,0,0,0.0,11,3.67,75,2,2,19,8.7,57,45.0,0.0,78.9,515,2012-01-07,2012,01,07,,大阪府立体育会館,岡山シーガルズ,トヨタ車体クインシーズ,溝田知茂,吉田啓佑,3,0,3,Win,77,59,79,14:05,15:30,2700,,西中野健,江下毅,中村滉伊知,Away,120,40,6,33.3,13.33,0,0,0,-,2,0.67,61,1,4,11,5.8,72,52.0,0.0,72.2
172,53,7,30.8,13.25,19,6,3,31.6,8,2.00,86,6,5,27,13.9,78,42.0,0.0,53.8,516,2012-01-07,2012,01,07,,大阪府立体育会館,JTマーヴェラス,久光製薬スプリングス,石原昭久,尾﨑侯,3,1,4,Win,87,84,97,16:05,17:51,3500,,印藤智一,北村友香,岡野俊樹,Home,170,63,9,37.1,15.75,15,5,2,33.3,6,1.50,85,1,7,35,11.2,78,47.0,0.0,60.3
170,63,9,37.1,15.75,15,5,2,33.3,6,1.50,85,1,7,35,11.2,78,47.0,0.0,60.3,516,2012-01-07,2012,01,07,,大阪府立体育会館,久光製薬スプリングス,JTマーヴェラス,大東雅史,野中俊英,1,3,4,Lose,84,87,97,16:05,17:51,3500,,印藤智一,北村友香,岡野俊樹,Away,172,53,7,30.8,13.25,19,6,3,31.6,8,2.00,86,6,5,27,13.9,78,42.0,0.0,53.8
150,67,9,44.7,13.40,20,13,1,65.0,19,3.80,109,7,6,41,14.9,85,47.0,0.0,55.3,514,2012-01-07,2012,01,07,,西尾市総合体育館,東レアローズ,デンソーエアリービーズ,菅野幸一郎,福田康弘,3,2,5,Win,110,93,101,17:00,18:53,1870,,明井寿枝,高橋弘二,田中栄二,Home,79,33,2,41.8,6.60,0,0,0,-,6,1.20,76,2,5,28,11.6,101,55.0,0.0,54.5
79,33,2,41.8,6.60,0,0,0,-,6,1.20,76,2,5,28,11.6,101,55.0,0.0,54.5,514,2012-01-07,2012,01,07,,西尾市総合体育館,デンソーエアリービーズ,東レアローズ,達川実,戸澤勉,2,3,5,Lose,93,110,101,17:00,18:53,1870,,明井寿枝,高橋弘二,田中栄二,Away,150,67,9,44.7,13.40,20,13,1,65.0,19,3.80,109,7,6,41,14.9,85,47.0,0.0,55.3
139,59,9,42.4,14.75,17,7,2,41.2,10,2.50,97,7,2,53,19.6,61,33.0,0.0,54.1,517,2012-01-08,2012,01,08,,西尾市総合体育館,東レアローズ,パイオニアレッドウィングス,菅野幸一郎,福田康弘,3,1,4,Win,98,64,84,13:00,14:13,2170,,高橋弘二,戸川太輔,大津聡,Home,135,41,12,30.4,10.25,16,2,2,12.5,8,2.00,65,0,4,28,10.8,94,35.0,0.0,37.2
