試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,13,,西川有喜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,14,,ヒックマンジャスティス,4,■,■,■,■,nan,35,13,2,37.1,31.4,3.25,2,0,1,0.0,2,0.50,13,0,1,3,3.8,37,16,10,56.8,15
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,15,L,小幡真子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,6,1,81.2,0
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,16,,和田由紀子,3,nan,□,■,■,nan,19,9,2,47.4,36.8,3.00,2,0,1,0.0,0,-,14,1,3,4,8.9,17,11,0,64.7,10
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,20,,西崎愛菜,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,3,10.7,0,0,0,-,0
2021-10-16,JTマーヴェラス,トヨタ車体クインシーズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,149,61,12,40.9,32.9,15.25,22,10,4,45.5,8,2.00,95,5,9,23,8.9,78,43,13,63.5,74
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,1,,島村春世,3,■,■,■,nan,nan,12,7,0,58.3,58.3,2.33,0,0,0,-,0,-,11,0,0,5,11.4,0,0,0,-,7
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,2,,古賀紗理那,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,2,0,1,25.0,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,3,,塚田しおり,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,12,0,1,3,4.2,0,0,0,-,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,4,,柳田光綺,2,□,nan,□,nan,nan,5,2,0,40.0,40.0,1.00,0,0,0,-,1,0.50,1,1,0,0,100.0,0,0,0,-,4
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,5,,曽我啓菜,3,■,■,■,nan,nan,20,11,1,55.0,50.0,3.67,2,1,0,50.0,3,1.00,16,0,0,4,6.2,13,7,2,61.5,14
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,7,,甲萌香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,9,,廣瀬七海,3,■,■,■,nan,nan,20,10,0,50.0,50.0,3.33,4,2,0,50.0,2,0.67,10,3,4,2,25.0,0,0,0,-,15
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,10,,澤田由佳,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,11,,古谷ちなみ,3,■,■,■,nan,nan,25,15,2,60.0,52.0,5.00,5,3,1,60.0,0,-,7,1,2,1,10.7,21,7,9,54.8,16
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,12,,山内美咲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,13,,山田二千華,3,■,■,■,nan,nan,12,7,2,58.3,41.7,2.33,0,0,0,-,1,0.33,11,0,0,7,15.9,0,0,0,-,8
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,16,L,小島満菜美,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,3,2,80.0,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,17,,川上雛菜,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,20,L,井上琴絵,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,0,2,25.0,0
2021-10-16,NECレッドロケッツ,KUROBEアクアフェアリーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,94,52,5,55.3,50.0,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17,16,55.6,64
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,1,,舛田紗淑,3,■,■,■,nan,nan,16,3,3,18.8,0.0,1.00,1,0,0,0.0,1,0.33,6,0,0,3,12.5,25,5,11,42.0,4
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,2,,小西愛衣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,4,,金杉由香,1,□,nan,nan,nan,nan,1,1,0,100.0,100.0,1.00,1,1,0,100.0,0,-,1,0,0,0,0.0,3,0,2,33.3,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,5,,菊池杏菜,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,10,0,0,2,5.0,0,0,0,-,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,7,,島田美紅,1,nan,nan,□,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,2,0,0,0,0.0,1,0,0,0.0,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,8,,道下ひなの,3,■,■,■,nan,nan,6,4,0,66.7,66.7,1.33,0,0,0,-,0,-,5,0,0,2,10.0,1,0,0,0.0,4
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,9,L,立石優華,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,3,5,45.8,0
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,10,,細沼綾,2,nan,□,■,nan,nan,8,1,0,12.5,12.5,0.50,0,0,0,-,0,-,4,0,1,0,-6.2,1,1,0,100.0,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,12,,浮島杏加子,3,■,■,■,nan,nan,21,9,3,42.9,28.6,3.00,2,0,1,0.0,0,-,7,0,1,3,7.1,0,0,0,-,9
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,14,,小杉凜華,2,■,■,nan,nan,nan,20,5,1,25.0,20.0,2.50,1,1,0,100.0,0,-,3,0,0,1,8.3,12,3,1,29.2,5
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,15,,戸部真由香,2,■,■,nan,nan,nan,5,1,1,20.0,0.0,0.50,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,16,,星加輝,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,18,,鈴木千代,2,□,nan,□,nan,nan,7,1,0,14.3,14.3,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,26,,コクラムピンピチャヤ,2,nan,□,■,nan,nan,15,4,0,26.7,26.7,2.00,0,0,0,-,0,-,2,0,0,0,0.0,10,3,4,50.0,4
2021-10-16,KUROBEアクアフェアリーズ,NECレッドロケッツ,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,100,30,8,30.0,22.0,10.00,5,2,1,40.0,2,0.67,47,0,2,12,5.3,65,15,23,40.8,32
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,1,,中元南,4,■,■,■,■,nan,44,15,0,34.1,34.1,3.75,5,1,0,20.0,0,-,19,0,1,6,6.6,29,15,9,67.2,15
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,7,,アコスタロスランディ,3,□,□,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,8,,ブンダサックジャラスポーン,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,9,,小口樹葉,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,10,,森谷史佳,4,■,■,■,■,nan,10,5,0,50.0,50.0,1.25,0,0,0,-,2,0.50,16,1,2,4,9.4,4,3,1,87.5,8
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,11,,高橋愛莉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,14,,松井珠己,4,■,■,■,■,nan,7,2,1,28.6,14.3,0.50,0,0,0,-,4,1.00,9,0,2,2,0.0,0,0,0,-,6
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,16,,横田真未,4,■,■,■,■,nan,22,11,0,50.0,50.0,2.75,0,0,0,-,1,0.25,14,0,1,1,0.0,2,2,0,100.0,12
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,17,,麻野七奈未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,18,,佐藤吉野,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,19,L,福留慧美,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,8,4,71.4,0
2021-10-16,デンソーエアリービーズ,PFUブルーキャッツ,3,1,1,20,,東谷玲衣奈,3,nan,□,□,□,nan,5,4,0,80.0,80.0,1.33,0,0,0,-,1,0.33,2,0,0,0,0.0,1,1,0,100.0,5
