名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
権田寛奈,埼玉上尾メディックス,18,57,46,16,13,20,8,2,40.0,30.0,0,0,0,1,26,0,2,9,2,0,0,9,,0.62,0.08,6.7,0.0
横田真未,デンソーエアリービーズ,16,58,55,17,113,534,206,26,38.6,33.7,0,0,0,61,333,12,23,86,42,32,5,279,,1.82,0.54,8.3,82.1
横田紗椰香,デンソーエアリービーズ,15,8,14,2,6,1,1,0,100.0,100.0,0,0,0,0,11,1,3,0,0,0,0,2,,0.17,0.0,2.3,
樫村まどか,東レアローズ,17,67,26,20,23,0,0,0,,,0,0,0,0,36,4,5,12,0,0,0,4,,0.0,0.0,16.0,
橘井友香,JTマーヴェラス,4,73,27,23,44,46,11,5,23.9,13.0,0,0,0,2,52,4,8,13,10,2,3,17,,0.25,0.05,10.1,35.0
櫻井美樹,ヴィクトリーナ姫路,2,42,74,6,113,23,7,3,30.4,17.4,0,0,0,4,330,14,26,99,3,0,1,25,,0.06,0.04,9.8,16.7
水杉玲奈,東レアローズ,11,73,28,22,56,0,0,0,,,0,0,0,0,0,0,0,0,283,144,69,0,,0.0,0.0,,63.1
池谷優佳,久光スプリングス,15,67,35,19,62,0,0,0,,,0,0,0,0,0,0,0,0,70,28,12,0,,0.0,0.0,,48.6
浮島杏加子,KUROBEアクアフェアリーズ,12,16,67,3,34,147,54,10,36.7,29.9,8,4,2,3,38,0,8,9,2,0,0,57,50.0,1.59,0.09,0.7,0.0
深澤つぐみ,東レアローズ,19,9,2,3,2,8,3,0,37.5,37.5,0,0,0,0,0,0,0,0,1,0,1,3,,1.5,0.0,,50.0
深澤めぐみ,久光スプリングス,22,9,6,2,5,18,8,1,44.4,38.9,1,1,0,1,5,0,0,3,1,0,1,9,100.0,1.6,0.2,15.0,50.0
深萱知代,JTマーヴェラス,12,15,2,5,6,0,0,0,,,0,0,0,0,3,0,1,0,14,7,2,0,,0.0,0.0,-8.3,57.1
清田萌,ヴィクトリーナ姫路,17,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
渡邉かや,ヴィクトリーナ姫路,21,40,71,6,92,620,182,30,29.4,24.5,22,7,1,9,247,7,19,76,499,227,114,198,31.8,1.98,0.1,8.6,56.9
渡邊彩,日立Astemoリヴァーレ,9,48,63,12,106,379,159,11,42.0,39.1,0,0,0,43,393,14,18,118,24,14,3,216,,1.5,0.41,9.9,64.6
渡邊真恵,PFUブルーキャッツ,4,36,42,9,43,184,64,12,34.8,28.3,0,0,0,2,53,1,7,12,0,0,0,67,,1.49,0.05,4.2,
澤田由佳,NECレッドロケッツ,10,74,37,22,98,11,5,0,45.5,45.5,0,0,0,6,219,7,5,48,3,0,0,18,,0.05,0.06,8.1,0.0
濱松明日香,久光スプリングス,17,60,30,17,45,117,65,8,55.6,48.7,0,0,0,8,88,2,15,16,9,7,0,75,,1.44,0.18,2.6,77.8
濱田真友,岡山シーガルズ,1,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
瀬戸杏華,PFUブルーキャッツ,2,7,10,1,2,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
熊井風音,トヨタ車体クインシーズ,10,33,62,7,29,0,0,0,,,0,0,0,0,0,0,0,0,102,34,27,0,,0.0,0.0,,46.6
田中咲希,ヴィクトリーナ姫路,13,42,74,6,109,768,314,55,40.9,33.7,12,4,4,24,328,17,23,93,538,220,104,355,33.3,2.88,0.22,10.5,50.6
田中瑞稀,JTマーヴェラス,6,73,27,23,74,592,216,26,36.5,32.1,68,29,7,18,279,4,23,48,411,201,93,238,42.6,2.92,0.24,3.7,60.2
田原愛里,PFUブルーキャッツ,17,44,56,11,93,34,14,1,41.2,38.2,1,1,0,3,231,16,27,59,2,0,0,33,100.0,0.15,0.03,10.4,0.0
田口絢佳,岡山シーガルズ,3,10,21,1,13,33,7,1,21.2,18.2,0,0,0,3,34,0,0,9,3,2,0,10,,0.54,0.23,6.6,66.7
甲萌香,NECレッドロケッツ,7,46,24,14,19,64,24,2,37.5,34.4,0,0,0,6,49,0,5,8,8,6,0,30,,1.26,0.32,1.5,75.0
白井美沙紀,東レアローズ,4,73,28,22,73,0,0,0,,,0,0,0,0,83,3,7,19,2,0,0,3,,0.0,0.0,7.2,0.0
白澤明香里,久光スプリングス,13,67,32,19,39,183,65,10,35.5,30.1,0,0,0,5,107,6,11,29,80,36,21,76,,1.67,0.13,9.8,58.1
目黒優佳,JTマーヴェラス,11,73,27,23,71,7,4,0,57.1,57.1,2,1,0,0,123,6,1,26,96,52,25,10,50.0,0.06,0.0,10.0,67.2
目黒安希,埼玉上尾メディックス,22,49,38,14,27,83,24,8,28.9,19.3,11,0,2,1,62,1,3,13,125,46,29,26,0.0,0.89,0.04,5.6,48.4
石井優希,久光スプリングス,6,62,31,18,83,679,220,39,32.4,26.7,47,17,8,13,213,7,16,74,447,206,116,240,36.2,2.65,0.16,10.1,59.1
石川真佑,東レアローズ,12,73,28,22,101,998,384,79,38.5,30.6,97,25,11,30,404,22,46,111,651,348,152,436,25.8,3.8,0.3,9.5,65.1
石橋桃子,デンソーエアリービーズ,12,25,11,8,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
福井愛加,ヴィクトリーナ姫路,19,11,24,1,21,0,0,0,,,0,0,0,0,0,0,0,0,22,10,4,0,,0.0,0.0,,54.5
福本眸,KUROBEアクアフェアリーズ,19,6,35,1,24,0,0,0,,,0,0,0,0,0,0,0,0,104,54,16,0,,0.0,0.0,,59.6
福留慧美,デンソーエアリービーズ,19,58,55,17,113,0,0,0,,,0,0,0,0,0,0,0,0,530,240,140,0,,0.0,0.0,,58.5
稲葉早生,トヨタ車体クインシーズ,2,4,27,0,9,22,7,1,31.8,27.3,3,0,1,0,14,0,2,3,3,1,1,7,0.0,0.78,0.0,1.8,50.0
積山春花,デンソーエアリービーズ,2,11,12,3,4,0,0,0,,,0,0,0,0,4,0,1,0,0,0,0,0,,0.0,0.0,-6.2,
立石優華,KUROBEアクアフェアリーズ,9,16,79,3,84,0,0,0,,,0,0,0,0,0,0,0,0,458,233,90,0,,0.0,0.0,,60.7
籾井あき,JTマーヴェラス,8,43,22,13,60,24,6,2,25.0,16.7,0,0,0,2,210,11,13,36,1,0,0,19,,0.1,0.03,8.0,0.0
細沼綾,KUROBEアクアフェアリーズ,10,16,73,3,73,289,109,10,37.7,34.3,0,0,0,54,209,4,17,43,44,18,12,167,,1.49,0.74,5.0,54.5
綿引菜都美,PFUブルーキャッツ,10,44,56,11,100,206,69,11,33.5,28.2,1,0,0,65,378,14,13,88,22,9,7,148,0.0,0.69,0.65,8.7,56.8
脇田美怜,ヴィクトリーナ姫路,10,29,48,4,10,41,13,4,31.7,22.0,1,0,0,2,11,0,2,0,19,8,1,15,0.0,1.3,0.2,-4.5,44.7
舛田紗淑,KUROBEアクアフェアリーズ,1,2,15,0,15,140,42,12,30.0,21.4,16,5,2,1,37,1,2,12,101,46,28,44,31.2,2.8,0.07,9.5,59.4
舟根綾菜,トヨタ車体クインシーズ,7,13,20,3,3,0,0,0,,,0,0,0,0,5,1,0,2,3,1,1,1,,0.0,0.0,30.0,50.0
船田芽依,岡山シーガルズ,22,40,51,10,77,0,0,0,,,0,0,0,0,11,0,1,3,134,56,26,0,,0.0,0.0,4.5,51.5
芥川愛加,JTマーヴェラス,1,73,27,23,98,204,78,7,38.2,34.8,0,0,0,38,231,8,13,61,23,13,3,124,,0.8,0.39,8.7,63.0
花井萌里,ヴィクトリーナ姫路,4,42,74,6,116,0,0,0,,,0,0,0,0,0,0,0,0,510,258,106,0,,0.0,0.0,,61.0
荒木彩花,久光スプリングス,20,39,18,11,25,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.0,,
荒谷栞,ヴィクトリーナ姫路,11,1,3,0,1,8,0,2,0.0,-25.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
菊池杏菜,KUROBEアクアフェアリーズ,5,15,73,3,65,6,4,0,66.7,66.7,0,0,0,2,147,4,6,31,2,0,1,10,,0.06,0.03,7.0,25.0
藤井莉子,NECレッドロケッツ,19,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藪田美穂子,トヨタ車体クインシーズ,17,37,74,8,81,462,142,35,30.7,23.2,26,5,3,8,203,14,15,70,274,124,67,164,19.2,1.75,0.1,13.7,57.5
西崎愛菜,JTマーヴェラス,20,43,18,14,21,0,0,0,,,0,0,0,0,28,1,0,9,1,0,0,1,,0.0,0.0,11.6,0.0
西川吉野,東レアローズ,16,73,28,22,86,256,91,9,35.5,32.0,5,2,1,11,77,4,9,15,136,56,29,106,40.0,1.06,0.13,7.1,51.8
西川有喜,JTマーヴェラス,13,73,27,23,57,524,197,28,37.6,32.3,113,51,11,17,211,16,9,60,162,59,43,230,45.1,3.46,0.3,13.6,49.7
貞包里穂,ヴィクトリーナ姫路,1,42,74,6,48,262,65,8,24.8,21.8,22,3,2,3,114,5,4,38,108,37,36,73,13.6,1.35,0.06,11.8,50.9
道下ひなの,KUROBEアクアフェアリーズ,8,14,64,3,66,248,107,6,43.1,40.7,0,0,0,14,166,2,14,57,11,6,3,123,,1.62,0.21,7.7,68.2
遠藤彩萌,岡山シーガルズ,13,43,53,11,76,286,104,15,36.4,31.1,7,0,0,11,174,2,11,37,130,56,33,117,0.0,1.37,0.14,4.9,55.8
野中瑠衣,日立Astemoリヴァーレ,13,47,60,12,73,155,57,13,36.8,28.4,11,5,0,10,110,2,12,36,135,61,29,69,45.5,0.78,0.14,7.3,55.9
野呂加南子,東レアローズ,13,73,28,22,54,159,39,8,24.5,19.5,1,1,0,6,107,5,6,30,187,78,46,50,100.0,0.72,0.11,10.3,54.0
